Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Чарниш,Орися,Владиславівна,жінка,1965-08-25,Науковець,селище Привілля,"сквер Шахтинський, буд. 886 кв. 6, Бровари, 28507",+380 44 327 83 44,boleslaviaremchuk@example.net
Батюк,Данна,Йосипівна,жінка,1963-02-10,Хореограф,місто Макіївка,"узвіз Лесі Українки, буд. 0, Луцьк, 17123",687-88-97,leon70@example.net
Забашта,Єва,Андріївна,жінка,1947-01-28,Фермер,хутір Мукачево,"шосе Соляний 3-й, буд. 91 кв. 6, Снятин, 37503",+380 91 481-26-13,martafareniuk@example.org
Бездітко,Тереза,Богданівна,жінка,1968-04-29,Машиніст,село Гірське,"площа Бернардацці, буд. 449, Ладижин, 03195",+380 28 919 97 56,vernyhoraodarka@example.com
Лукаш,Святослава,Феофанівна,жінка,1952-03-18,Євнух,місто Вижниця,"шосе Мала, буд. 239 кв. 3, Золоте, 17810",037 220-80-18,parmen10@example.com
Гавришкевич,Ірена,Кирилівна,жінка,1995-08-12,Різноробочий,село Бурштин ,"узвіз 15-та ст. Великого Фонтану пляж, буд. 833, Міусинськ, 68727",+380 68 427-55-49,pushkardemian@example.com
Девдюк,Алла,Германівна,жінка,1946-11-26,Астронавт,селище Феодосія,"провулок Конструкторський, буд. 5 кв. 4, Винники, 53365",241-63-57,dmedvedenko@example.net
Охримович,Ірена,Давидівна,жінка,2006-03-02,Етнограф,село Жовті Води,"узвіз Восьмого Березня Лінія 3-тя, буд. 5 кв. 4, Гуляйполе, 89711",056 006 69 78,tsisyktetiana@example.com
Литвиненко,Анжела,Спасівна,жінка,1965-01-03,Економіст,місто Київ,"парк Олександра Невського, буд. 54 кв. 83, Гуляйполе, 03448",+380 10 287-14-88,iustymkhudiak@example.com
Затовканюк,Михайлина,Венедиктівна,жінка,1988-07-19,Футболіст,місто Павлоград,"проспект Амундсена, 3-й, буд. 991, Красилів, 76720",061 836 42 73,vashchenko-zakharchenkopavlo@example.net
Захаренко,Лілія,Панасівна,жінка,1940-08-13,Мінералог,хутір Заставна,"вулиця 12-та ст. Великого Фонтану пляж, буд. 3 кв. 6, Вишневе , 95547",+380 24 495-65-88,sviatoslavmamchur@example.com
Полтавець,Мілена,Охрімівна,жінка,1956-04-03,Кінолог,село Новий Буг,"провулок Глиняна, буд. 87 кв. 0, Керч, 92168",+380 (96) 574-87-16,iakiviarosh@example.com
Демʼяненко,Мілена,Владиславівна,жінка,1977-03-13,Круп'є,хутір Соледар,"узвіз Китобійний 2-й, буд. 694 кв. 248, Батурин, 46222",262-42-91,pbaranets@example.com
Охріменко,Володимира,Кирилівна,жінка,1955-12-11,Кінолог,хутір Благовіщенське,"провулок Сергія Ядова, буд. 40 кв. 6, Богодухів, 02880",+380 (48) 403-64-30,kandrusenko@example.net
Колесниченко,Маруся,Аврелійовна,жінка,2007-01-11,Диригент,хутір Алчевськ,"узвіз Урожайна, буд. 11, Апостолове, 14248",+380 72 987 29 09,aaron36@example.com
Кириленко,Тереза,Болеславівна,жінка,2006-02-10,Мовознавець,хутір Золоте,"узвіз Скляний 3-й, буд. 1, Бахмут, 07563",+380 84 672 51 81,kiarosh@example.org
Перепелиця,Камілла,Аркадіївна,жінка,1980-09-21,Бібліотекар,село Сколе,"площа Топольського, буд. 8 кв. 10, Полонне, 06498",780 25 32,lesyksolomon@example.net
Якименко,Одарка,Федорівна,жінка,1941-09-10,Вчитель,селище Овруч,"узвіз Степова, буд. 4, Ладижин, 17165",227-65-34,ostap64@example.net
Малишко,Роксолана,Вадимівна,жінка,1968-12-31,Стоматолог,хутір Болехів,"площа Траса Здоров'я, буд. 82, Благовіщенське, 65066",+380 87 670-55-81,herman45@example.com
Охріменко,Златослава,Богданівна,жінка,1968-02-28,Дантист,селище Новомиргород,"вулиця Балківська, буд. 065 кв. 40, Красноперекопськ, 63083",+380 64 388 94 78,nlysenko@example.org
Непорожній,Маруся,Миколаївна,жінка,1979-07-20,Бібліотекар,селище Євпаторія,"сквер Ананьївська, буд. 775 кв. 19, Сновськ, 71500",364 35 30,vvernyhora@example.com
Шморгун,Надія,Костянтинівна,жінка,1960-02-28,Зоолог,місто Бар,"набережна Самодіяльна, буд. 9, Путивль, 65604",611 68 30,mykhailynagerega@example.org
Гайденко,Маруся,Теодорівна,жінка,1966-11-02,Кухар,хутір Чигирин,"проспект 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 092, Коломия, 23378",+380 45 810 82 51,vandriishyna@example.com
Вівчаренко,Марина,Болеславівна,жінка,1962-06-10,Адвокат,хутір Бар,"набережна Москвіна, буд. 509, Луганськ, 21351",078 419-40-94,lzasukha@example.org
Данилюк,Ірена,Валеріївна,жінка,2001-03-31,Краєзнавець,селище Мерефа,"проспект Новикова, буд. 558, Любомль, 47419",076 735-07-19,dotsenkostanislav@example.com
Чарниш,Наталія,Богданівна,жінка,1978-05-26,Акушер,село Болехів,"площа Мічуріна, буд. 942, Селидове, 94397",+380 05 428-92-85,nchornovil@example.org
Андріїшина,Роксолана,Тарасівна,жінка,1988-12-06,Електромонтажник,місто Інкерман,"набережна Моторна, буд. 69, Дергачі, 43411",+380 (11) 909-55-69,woberemko@example.net
Вакуленко,Розалія,Данилівна,жінка,1996-10-27,Астроном,село Глобине,"проспект Естафетна, буд. 5, Рені, 96203",000 717 30 94,zhuravelievhen@example.com
Сич,Єлисавета,Валеріївна,жінка,1963-10-22,Зоолог,хутір Герца,"шосе Деволанівська, буд. 5, Новоселиця, 66986",+380 37 522-51-22,amvrosiiovcharenko@example.com
Удовенко,Марія,Тимофіївна,жінка,1941-01-03,Кухар,хутір Феодосія,"вулиця Першотравневий 2-й, буд. 225 кв. 46, Лиман , 58423",+380 13 356-54-87,mariia46@example.net
Мазур,Марія,Максимівна,жінка,1949-01-10,Фермер,селище Феодосія,"шосе Єнісейська, буд. 335 кв. 08, Верхньодніпровськ, 35423",+380 (34) 926-80-52,iustymandreiko@example.org
Артим,Златослава,Соломонівна,жінка,1978-07-06,Менеджер,село Донецьк,"вулиця Кипарисний 1-й, буд. 87 кв. 0, Марганець , 71933",+380 55 344-71-23,cpiatachenko@example.org
Лазаренко,Ярина,Юстимівна,жінка,1954-02-27,Електромонтажник,селище Яготин,"вулиця Висока, буд. 994 кв. 9, Залізне, 57901",+380 (75) 165-71-41,lbatiuk@example.net
Вакуленко,Варвара,Азарівна,жінка,1988-05-10,Фермер,селище Любомль,"парк Новаторів, буд. 26 кв. 60, Почаїв, 25586",365 60 10,liudmylariabets@example.org
Абраменко,Людмила,Павлівна,жінка,1942-07-28,Локсмайстер,село Костопіль,"сквер Магнітогорський, буд. 9 кв. 3, Борислав, 05136",034 081-35-72,makar83@example.org
Щириця,Оксана,Федорівна,жінка,2001-05-15,Художник,хутір Голубівка,"проспект Толбухіна, буд. 7, Білицьке, 33236",+380 97 932-86-88,lfartushniak@example.com
Давимука,Галина,Тарасівна,жінка,1959-07-15,Підприємець,селище Вишгород,"проспект Митна, буд. 314, Збараж, 10915",+380 87 018-90-50,hrytsenkolevko@example.net
Шахрай,Амалія,Давидівна,жінка,2000-10-26,Кушнір,село Тетіїв,"проспект Академічна, буд. 04 кв. 1, Новоград-Волинський, 76826",+380 21 188 87 83,paliiliudmyla@example.com
Барабаш,Мілена,Аркадіївна,жінка,1978-02-06,Електромонтер,селище Токмак,"площа Молодогвардійська, буд. 44 кв. 84, Нікополь, 76378",+380 30 344-53-16,marusia61@example.com
Авдєєнко,Данна,Леонтіївна,жінка,1970-11-15,Ґрунтознавець,хутір Брянка,"вулиця Керченський 3-й, буд. 9 кв. 07, Умань, 21579",+380 (06) 886-39-05,hohol-ianovskyioleh@example.net
Фурс,Оксана,Назарівна,жінка,1975-02-18,Єгер,село Горішні Плавні,"сквер Кутова, буд. 45, Сквира, 64522",047 717 24 57,iieshchenko@example.com
